,total_cup_points,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,category_two_defects,altitude,iso_code,id
0,89.92,Ethiopia,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,0.12,0,1,2075.0,231,0
1,88.83,Ethiopia,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,0.12,0,2,2075.0,231,1
2,88.25,Ethiopia,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,0.1,0,4,1822.5,231,2
3,87.92,United States,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,0.0,0,0,1872.0,840,3
4,87.92,United States,Other,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,0.0,0,0,1943.0,840,4
5,87.58,United States,Other,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,0.0,0,0,2080.0,840,5
6,87.25,China,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,0.1,0,0,1450.0,156,6
7,87.25,Ethiopia,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,0.0,0,8,1850.0,231,7
8,87.25,United States,Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,0.0,0,0,2019.0,840,8
9,87.17,Costa Rica,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,0.11,0,2,1300.0,188,9
10,87.17,Mexico,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,0.13,0,0,1320.0,484,10
11,87.08,United States,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,0.0,0,0,2112.0,840,11
12,86.92,Brazil,Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,0.12,0,2,1250.0,76,12
13,86.83,Uganda,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,0.12,0,1,1950.0,800,13
14,86.58,Taiwan,Sumatra,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,0.0,0,0,1200.0,158,14
15,86.42,Brazil,Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,0.12,0,2,1300.0,76,15
16,86.33,Costa Rica,Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,0.0,0,0,1300.0,188,16
17,86.25,Kenya,SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,0.12,0,1,1800.0,404,17
18,86.17,United States,Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,0.0,0,0,1941.0,840,18
19,86.17,Thailand,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,0.1,1,9,1300.0,764,19
20,86.08,Taiwan,Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,0.12,0,0,1000.0,158,20
21,86.08,Kenya,SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,0.11,0,2,1754.0,404,21
22,86.08,Brazil,Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,0.11,0,2,1250.0,76,22
23,86.0,Colombia,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,0.12,1,1,1200.0,170,23
24,86.0,Kenya,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,0.11,0,1,1860.0,404,24
25,86.0,Uganda,Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,0.1,0,0,1650.0,800,25
26,85.92,Uganda,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,0.12,0,0,1650.0,800,26
27,85.92,Colombia,Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,0.0,1,0,1800.0,170,27
28,85.83,Panama,Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,0.08,0,0,1600.0,591,28
29,85.83,Guatemala,Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,0.12,0,3,1524.0,320,29
30,85.83,Guatemala,Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,0.1,0,1,1417.32,320,30
31,85.58,El Salvador,Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,0.1,0,3,1500.0,222,31
